"date","tipo_refeicao","restaurante_utilizado","categoria_padrao","categoria_vegano","dia_semana","mes","almoco","periodo_semestre","quantidade","feriado_dummy"
2024-03-14,"Almoço","RS","bovino","leguminosas","qui","mar","1","inicio",1744,0
2024-03-14,"Jantar","RU","suino","leguminosas","qui","mar","0","inicio",2884,0
2024-03-14,"Jantar","RA","suino","leguminosas","qui","mar","0","inicio",811,0
2024-03-14,"Jantar","RS","suino","leguminosas","qui","mar","0","inicio",1090,0
2024-03-15,"Almoço","RU","frango","leguminosas","sex","mar","1","inicio",3850,0
2024-03-15,"Almoço","RA","frango","leguminosas","sex","mar","1","inicio",1232,0
2024-03-15,"Almoço","RS","frango","leguminosas","sex","mar","1","inicio",1464,0
2024-03-15,"Jantar","RU","bovino","leguminosas","sex","mar","0","inicio",2093,0
2024-03-15,"Jantar","RA","bovino","leguminosas","sex","mar","0","inicio",544,0
2024-03-15,"Jantar","RS","bovino","leguminosas","sex","mar","0","inicio",556,0
2024-03-18,"Almoço","RU","frango","leguminosas","seg","mar","1","inicio",4100,0
2024-03-18,"Almoço","RA","frango","leguminosas","seg","mar","1","inicio",1399,0
2024-03-18,"Almoço","RS","frango","leguminosas","seg","mar","1","inicio",2002,0
2024-03-18,"Jantar","RU","suino","leguminosas","seg","mar","0","inicio",3145,0
2024-03-18,"Jantar","RA","suino","leguminosas","seg","mar","0","inicio",893,0
2024-03-18,"Jantar","RS","suino","leguminosas","seg","mar","0","inicio",1084,0
2024-03-19,"Almoço","RU","suino","pts_proteina_texturizada","ter","mar","1","inicio",4600,0
2024-03-19,"Almoço","RA","suino","pts_proteina_texturizada","ter","mar","1","inicio",1411,0
2024-03-19,"Almoço","RS","suino","pts_proteina_texturizada","ter","mar","1","inicio",2021,0
2024-03-19,"Jantar","RU","bovino","leguminosas","ter","mar","0","inicio",3316,0
2024-03-19,"Jantar","RA","bovino","leguminosas","ter","mar","0","inicio",927,0
2024-03-19,"Jantar","RS","bovino","leguminosas","ter","mar","0","inicio",1179,0
2024-03-20,"Almoço","RU","bovino","leguminosas","qua","mar","1","inicio",4348,0
2024-03-20,"Almoço","RA","bovino","leguminosas","qua","mar","1","inicio",1343,0
2024-03-20,"Almoço","RS","bovino","leguminosas","qua","mar","1","inicio",1904,0
2024-03-20,"Jantar","RU","peixe","vegetais","qua","mar","0","inicio",2017,0
2024-03-20,"Jantar","RA","peixe","vegetais","qua","mar","0","inicio",514,0
2024-03-20,"Jantar","RS","peixe","vegetais","qua","mar","0","inicio",588,0
2024-03-21,"Almoço","RU","frango","pts_proteina_texturizada","qui","mar","1","inicio",4466,0
2024-03-21,"Almoço","RA","frango","pts_proteina_texturizada","qui","mar","1","inicio",1402,0
2024-03-21,"Almoço","RS","frango","pts_proteina_texturizada","qui","mar","1","inicio",2003,0
2024-03-21,"Jantar","RU","bovino","leguminosas","qui","mar","0","inicio",2800,0
2024-03-21,"Jantar","RA","bovino","leguminosas","qui","mar","0","inicio",890,0
2024-03-21,"Jantar","RS","bovino","leguminosas","qui","mar","0","inicio",953,0
2024-03-22,"Almoço","RU","frango","leguminosas","sex","mar","1","inicio",4031,0
2024-03-22,"Almoço","RA","frango","leguminosas","sex","mar","1","inicio",1323,0
2024-03-22,"Almoço","RS","frango","leguminosas","sex","mar","1","inicio",1657,0
2024-03-22,"Jantar","RU","suino","pts_proteina_texturizada","sex","mar","0","inicio",2291,0
2024-03-22,"Jantar","RA","suino","pts_proteina_texturizada","sex","mar","0","inicio",614,0
2024-03-22,"Jantar","RS","suino","pts_proteina_texturizada","sex","mar","0","inicio",610,0
2024-03-25,"Almoço","RU","bovino","leguminosas","seg","mar","1","inicio",4354,0
2024-03-25,"Almoço","RA","bovino","leguminosas","seg","mar","1","inicio",1358,0
2024-03-25,"Almoço","RS","bovino","leguminosas","seg","mar","1","inicio",1837,0
2024-03-25,"Jantar","RU","frango","leguminosas","seg","mar","0","inicio",3336,0
2024-03-25,"Jantar","RA","frango","leguminosas","seg","mar","0","inicio",854,0
2024-03-25,"Jantar","RS","frango","leguminosas","seg","mar","0","inicio",1021,0
2024-03-26,"Almoço","RU","frango","leguminosas","ter","mar","1","inicio",4171,0
2024-03-26,"Almoço","RA","frango","leguminosas","ter","mar","1","inicio",1573,0
2024-03-26,"Almoço","RS","frango","leguminosas","ter","mar","1","inicio",2245,0
2024-03-26,"Jantar","RU","bovino","leguminosas","ter","mar","0","inicio",2650,0
2024-03-26,"Jantar","RA","bovino","leguminosas","ter","mar","0","inicio",801,0
2024-03-26,"Jantar","RS","bovino","leguminosas","ter","mar","0","inicio",954,0
2024-03-27,"Almoço","RU","bovino","leguminosas","qua","mar","1","inicio",4194,0
2024-03-27,"Almoço","RA","bovino","leguminosas","qua","mar","1","inicio",1350,0
2024-03-27,"Almoço","RS","bovino","leguminosas","qua","mar","1","inicio",1818,0
2024-03-27,"Jantar","RU","frango","pts_proteina_texturizada","qua","mar","0","inicio",2500,0
2024-03-27,"Jantar","RA","frango","pts_proteina_texturizada","qua","mar","0","inicio",690,0
2024-03-27,"Jantar","RS","frango","pts_proteina_texturizada","qua","mar","0","inicio",769,0
2024-04-01,"Almoço","RU","bovino","leguminosas","seg","abr","1","inicio",3959,0
2024-04-01,"Almoço","RA","bovino","leguminosas","seg","abr","1","inicio",1378,0
2024-04-01,"Almoço","RS","bovino","leguminosas","seg","abr","1","inicio",1834,0
2024-04-01,"Jantar","RU","frango","leguminosas","seg","abr","0","inicio",3030,0
2024-04-01,"Jantar","RA","frango","leguminosas","seg","abr","0","inicio",824,0
2024-04-01,"Jantar","RS","frango","leguminosas","seg","abr","0","inicio",997,0
2024-04-02,"Almoço","RU","peixe","leguminosas","ter","abr","1","inicio",3287,0
2024-04-02,"Almoço","RA","peixe","leguminosas","ter","abr","1","inicio",994,0
2024-04-02,"Almoço","RS","peixe","leguminosas","ter","abr","1","inicio",1168,0
2024-04-02,"Jantar","RU","bovino","leguminosas","ter","abr","0","inicio",3011,0
2024-04-02,"Jantar","RA","bovino","leguminosas","ter","abr","0","inicio",868,0
2024-04-02,"Jantar","RS","bovino","leguminosas","ter","abr","0","inicio",1280,0
2024-04-03,"Almoço","RA","bovino","leguminosas","qua","abr","1","inicio",1473,0
2024-04-03,"Almoço","RS","bovino","leguminosas","qua","abr","1","inicio",2030,0
2024-04-03,"Almoço","RU","bovino","leguminosas","qua","abr","1","inicio",4451,0
2024-04-03,"Jantar","RU","peixe","leguminosas","qua","abr","0","inicio",2065,0
